msn,location,daily_consumption_load,energy_supplied,energy_billed,technical_loss_kwh,loss_ratio,timestamp
0653DAA9,Bengaluru,194.54,208.32999999999998,194.24,14.090000000000002,0.06692927679416379,2021-01-01
344684B5,Kolkata,187.21,202.14,188.18,13.959999999999999,0.07116574880138235,2021-01-01
3F42A75F,Mumbai,178.77,191.96,178.16,13.800000000000002,0.077741733067023,2021-01-01
7F6ACD62,Delhi,198.92000000000002,212.91,198.42000000000002,14.489999999999998,0.06607000540342259,2021-01-01
ACE43B7D,Chennai,170.64,184.74,171.03,13.710000000000003,0.07562935399140545,2021-01-01
0653DAA9,Bengaluru,243.78,264.21,244.08,20.130000000000003,0.07659948804837698,2021-01-02
344684B5,Kolkata,216.42,236.72,216.66,20.06,0.08447948613197419,2021-01-02
3F42A75F,Mumbai,255.16,274.95,254.19,20.759999999999998,0.07306752073872404,2021-01-02
7F6ACD62,Delhi,234.5,255.46,234.91,20.550000000000004,0.08025004368739568,2021-01-02
ACE43B7D,Chennai,248.06,268.27,247.23,21.040000000000006,0.07842371296265939,2021-01-02
ACE43B7D,Chennai,269.83,292.26,269.66,22.6,0.07844152320627545,2021-01-03
7F6ACD62,Delhi,232.17,250.27,232.15,18.120000000000005,0.072818535516303,2021-01-03
0653DAA9,Bengaluru,233.11,250.52,232.31,18.21,0.07138873387628213,2021-01-03
344684B5,Kolkata,241.9,262.02,241.94,20.08,0.07514712517672077,2021-01-03
3F42A75F,Mumbai,254.15,274.07,254.98,19.09,0.07033437959180727,2021-01-03
0653DAA9,Bengaluru,267.89,287.1,267.24,19.86,0.06972634000099595,2021-01-04
344684B5,Kolkata,233.58,251.83,233.72,18.109999999999996,0.0697931698389752,2021-01-04
3F42A75F,Mumbai,249.03,271.25,249.25,22.000000000000004,0.08172352591652861,2021-01-04
7F6ACD62,Delhi,242.16,261.34,241.99,19.349999999999998,0.07516915658559002,2021-01-04
ACE43B7D,Chennai,251.0,273.68,252.07,21.61,0.07695472449382375,2021-01-04
ACE43B7D,Chennai,255.91,273.26,253.81,19.45,0.07062708733207082,2021-01-05
7F6ACD62,Delhi,243.3,264.63,242.79,21.84,0.07863650964056791,2021-01-05
0653DAA9,Bengaluru,276.52,300.33,277.89,22.439999999999998,0.07377332097936537,2021-01-05
344684B5,Kolkata,233.9,254.49,234.07,20.42,0.0787598018062789,2021-01-05
3F42A75F,Mumbai,236.24,253.33,235.26,18.07,0.07102411192736169,2021-01-05
0653DAA9,Bengaluru,228.56,248.92,229.05,19.87,0.08088907494188938,2021-01-06
344684B5,Kolkata,238.43,257.95,239.26,18.689999999999998,0.07426157104766269,2021-01-06
3F42A75F,Mumbai,256.57,278.52,256.58,21.939999999999998,0.07687638474796106,2021-01-06
7F6ACD62,Delhi,242.1,259.18,241.89,17.29,0.07048722212506847,2021-01-06
ACE43B7D,Chennai,232.94,252.88,233.61,19.27,0.07520224929497617,2021-01-06
ACE43B7D,Chennai,231.01,250.8,230.62,20.180000000000003,0.07994003612583347,2021-01-07
7F6ACD62,Delhi,261.75,284.27,262.56,21.71,0.07945535522147808,2021-01-07
3F42A75F,Mumbai,244.57,265.8,244.99,20.810000000000002,0.07758819962891302,2021-01-07
0653DAA9,Bengaluru,232.46,251.83,231.75,20.08,0.07977250440458153,2021-01-07
344684B5,Kolkata,262.49,283.6,262.61,20.990000000000002,0.07474710010947473,2021-01-07
0653DAA9,Bengaluru,264.41,284.34,264.77,19.569999999999997,0.06844202551208424,2021-01-08
344684B5,Kolkata,228.29,244.42,226.6,17.82,0.07194704505985387,2021-01-08
3F42A75F,Mumbai,241.77,263.11,242.1,21.01,0.07772064371840272,2021-01-08
7F6ACD62,Delhi,241.41,261.87,241.63,20.240000000000002,0.07343791000355011,2021-01-08
ACE43B7D,Chennai,242.19,260.42,242.39,18.03,0.07195727823499634,2021-01-08
ACE43B7D,Chennai,240.82,258.33,241.33,17.0,0.06878655475578936,2021-01-09
3F42A75F,Mumbai,223.29,240.45,222.48,17.97,0.07319785146234738,2021-01-09
7F6ACD62,Delhi,258.26,280.65999999999997,257.75,22.91,0.08478838279515234,2021-01-09
0653DAA9,Bengaluru,241.56,262.88,241.67,21.21,0.08124121485239773,2021-01-09
344684B5,Kolkata,237.48,255.22,237.67,17.549999999999997,0.06987028846460354,2021-01-09
0653DAA9,Bengaluru,248.81,269.79,248.97,20.819999999999997,0.07768327256066282,2021-01-10
344684B5,Kolkata,224.44,245.76,225.17,20.589999999999996,0.08060594369972125,2021-01-10
3F42A75F,Mumbai,240.88,259.79,240.26,19.529999999999998,0.07635401774899232,2021-01-10
